return_id,order_id,return_date,return_reason,refund_amount,reverse_logistics_cost,restockable
RET-000361,ORD-007169,2024-09-27,Late Delivery,236.87,39.17,True
RET-000362,ORD-007176,2024-06-20,Item Defective,312.25,40.46,True
RET-000363,ORD-007180,2024-09-17,Buyer Remorse,39.94,50.51,True
RET-000364,ORD-007213,2024-07-27,Item Defective,193.42,35.33,True
RET-000365,ORD-007273,2024-07-18,Wrong Size / Fit,165.01,42.46,True
RET-000366,ORD-007285,2024-09-05,Item Defective,906.96,44.22,True
RET-000367,ORD-007288,2024-07-25,Item Defective,473.63,36.52,True
RET-000368,ORD-007294,2024-05-11,Item Defective,47.73,37.86,False
RET-000369,ORD-007301,2024-05-10,Wrong Size / Fit,297.7,50.2,True
RET-000370,ORD-007398,2024-04-14,Buyer Remorse,425.28,50.82,True
RET-000371,ORD-007437,2024-06-19,Wrong Size / Fit,111.05,38.35,True
RET-000372,ORD-007456,2024-05-26,Item Defective,103.09,45.07,False
RET-000373,ORD-007462,2024-08-30,Late Delivery,306.87,45.53,True
RET-000374,ORD-007476,2024-07-10,Late Delivery,140.95,38.53,True
RET-000375,ORD-007495,2024-09-03,Item Defective,151.43,51.48,True
RET-000376,ORD-007509,2024-08-24,Wrong Size / Fit,81.08,37.23,True
RET-000377,ORD-007524,2024-04-20,Wrong Size / Fit,313.66,44.6,True
RET-000378,ORD-007543,2024-07-13,Late Delivery,291.51,49.3,True
RET-000379,ORD-007548,2024-06-06,Item Defective,63.51,36.44,True
RET-000380,ORD-007606,2024-07-05,Item Defective,54.89,41.6,True
RET-000381,ORD-007634,2024-08-22,Wrong Size / Fit,874.9,44.44,True
RET-000382,ORD-007637,2024-10-02,Wrong Size / Fit,352.06,47.15,True
RET-000383,ORD-007671,2024-08-28,Wrong Size / Fit,301.93,50.62,True
RET-000384,ORD-007721,2024-05-30,Buyer Remorse,126.16,36.02,True
RET-000385,ORD-007731,2024-08-30,Item Defective,26.58,45.88,True
RET-000386,ORD-007732,2024-09-09,Item Defective,51.46,38.48,True
RET-000387,ORD-007734,2024-09-15,Late Delivery,80.44,50.07,True
RET-000388,ORD-007800,2024-07-06,Item Defective,81.06,51.93,True
RET-000389,ORD-007815,2024-05-01,Wrong Size / Fit,743.57,43.98,True
RET-000390,ORD-007818,2024-08-12,Wrong Size / Fit,237.67,44.39,False
RET-000391,ORD-007833,2024-10-03,Wrong Size / Fit,27.06,44.57,True
RET-000392,ORD-007837,2024-09-04,Wrong Size / Fit,30.66,51.05,True
RET-000393,ORD-007839,2024-05-04,Wrong Size / Fit,274.55,45.8,True
RET-000394,ORD-007847,2024-04-14,Item Defective,186.87,50.73,True
RET-000395,ORD-007858,2024-07-07,Wrong Size / Fit,88.71,44.39,True
RET-000396,ORD-007860,2024-06-04,Late Delivery,190.27,35.65,True
RET-000397,ORD-007862,2024-08-15,Wrong Size / Fit,305.76,35.33,True
RET-000398,ORD-007875,2024-04-26,Wrong Size / Fit,501.39,49.45,True
RET-000399,ORD-007932,2024-06-18,Item Defective,212.92,47.84,True
RET-000400,ORD-007935,2024-08-21,Item Defective,174.58,38.09,True
RET-000401,ORD-007950,2024-07-14,Item Defective,201.88,49.61,True
RET-000402,ORD-007983,2024-09-20,Late Delivery,25.81,37.95,True
RET-000403,ORD-007998,2024-05-28,Wrong Size / Fit,50.8,43.41,True
RET-000404,ORD-008001,2024-06-16,Wrong Size / Fit,28.1,36.53,True
RET-000405,ORD-008009,2024-07-01,Item Defective,260.71,37.47,True
RET-000406,ORD-008017,2024-05-10,Wrong Size / Fit,91.88,45.7,True
RET-000407,ORD-008022,2024-04-19,Wrong Size / Fit,242.76,41.31,True
RET-000408,ORD-008029,2024-05-19,Wrong Size / Fit,136.18,36.84,True
RET-000409,ORD-008033,2024-04-19,Wrong Size / Fit,1031.34,49.07,False
RET-000410,ORD-008039,2024-10-05,Late Delivery,513.8,50.95,True
RET-000411,ORD-008078,2024-04-25,Late Delivery,474.08,50.57,True
RET-000412,ORD-008110,2024-08-25,Wrong Size / Fit,44.67,40.88,True
RET-000413,ORD-008118,2024-07-07,Item Defective,390.64,42.03,True
RET-000414,ORD-008126,2024-09-01,Wrong Size / Fit,79.99,44.32,True
RET-000415,ORD-008132,2024-07-17,Late Delivery,1236.82,44.81,True
RET-000416,ORD-008135,2024-08-24,Item Defective,112.38,39.82,True
RET-000417,ORD-008204,2024-05-31,Wrong Size / Fit,30.97,47.27,True
RET-000418,ORD-008220,2024-07-30,Late Delivery,163.77,36.15,True
RET-000419,ORD-008300,2024-10-01,Wrong Size / Fit,38.63,46.35,True
RET-000420,ORD-008335,2024-09-25,Buyer Remorse,174.87,38.52,True
RET-000421,ORD-008345,2024-06-21,Late Delivery,182.95,48.41,True
RET-000422,ORD-008393,2024-04-22,Late Delivery,132.99,41.89,False
RET-000423,ORD-008411,2024-09-01,Late Delivery,87.67,39.33,True
RET-000424,ORD-008480,2024-08-11,Item Defective,233.15,45.63,True
RET-000425,ORD-008524,2024-05-07,Wrong Size / Fit,40.41,47.96,True
RET-000426,ORD-008547,2024-09-28,Wrong Size / Fit,81.34,37.17,True
RET-000427,ORD-008576,2024-09-20,Item Defective,45.07,36.64,True
RET-000428,ORD-008614,2024-04-12,Late Delivery,56.36,49.15,True
RET-000429,ORD-008619,2024-09-14,Wrong Size / Fit,429.33,36.52,True
RET-000430,ORD-008624,2024-06-14,Buyer Remorse,239.9,40.67,True
RET-000431,ORD-008662,2024-05-03,Wrong Size / Fit,128.5,36.85,False
RET-000432,ORD-008713,2024-06-01,Wrong Size / Fit,138.69,49.35,True
RET-000433,ORD-008746,2024-09-07,Wrong Size / Fit,164.86,47.56,True
RET-000434,ORD-008753,2024-08-24,Wrong Size / Fit,39.81,39.42,True
RET-000435,ORD-008757,2024-09-25,Late Delivery,83.47,50.51,True
RET-000436,ORD-008793,2024-09-12,Item Defective,56.41,39.65,True
RET-000437,ORD-008822,2024-04-26,Buyer Remorse,210.5,51.77,True
RET-000438,ORD-008824,2024-04-27,Wrong Size / Fit,296.45,41.14,True
RET-000439,ORD-008839,2024-05-21,Late Delivery,54.21,41.7,True
RET-000440,ORD-008845,2024-10-07,Buyer Remorse,228.67,46.57,True
RET-000441,ORD-008862,2024-04-28,Wrong Size / Fit,510.94,43.96,True
RET-000442,ORD-008870,2024-09-14,Wrong Size / Fit,986.45,50.14,True
RET-000443,ORD-008904,2024-09-09,Wrong Size / Fit,138.75,41.42,True
RET-000444,ORD-008918,2024-09-30,Wrong Size / Fit,93.86,35.07,True
RET-000445,ORD-008934,2024-09-18,Late Delivery,79.26,38.16,True
RET-000446,ORD-008963,2024-07-03,Wrong Size / Fit,423.94,44.14,True
RET-000447,ORD-009007,2024-04-27,Wrong Size / Fit,442.76,43.14,True
RET-000448,ORD-009013,2024-09-02,Item Defective,35.59,48.88,True
RET-000449,ORD-009040,2024-04-14,Buyer Remorse,446.56,38.87,True
RET-000450,ORD-009066,2024-09-18,Wrong Size / Fit,36.14,40.18,True
RET-000451,ORD-009100,2024-08-10,Item Defective,70.34,51.15,True
RET-000452,ORD-009103,2024-08-15,Wrong Size / Fit,78.37,43.08,True
RET-000453,ORD-009104,2024-08-14,Item Defective,116.79,43.28,True
RET-000454,ORD-009106,2024-09-30,Late Delivery,84.24,47.04,True
RET-000455,ORD-009132,2024-08-16,Buyer Remorse,116.41,36.92,True
RET-000456,ORD-009134,2024-09-04,Wrong Size / Fit,880.43,43.08,True
RET-000457,ORD-009135,2024-09-24,Buyer Remorse,159.15,40.26,True
RET-000458,ORD-009175,2024-09-09,Wrong Size / Fit,57.72,48.51,True
RET-000459,ORD-009225,2024-08-12,Late Delivery,39.14,47.69,True
RET-000460,ORD-009229,2024-10-05,Late Delivery,80.56,49.28,True
RET-000461,ORD-009247,2024-09-17,Wrong Size / Fit,512.18,46.88,True
RET-000462,ORD-009252,2024-06-11,Wrong Size / Fit,506.14,40.18,True
RET-000463,ORD-009260,2024-09-01,Late Delivery,90.19,51.94,True
RET-000464,ORD-009270,2024-10-08,Item Defective,60.18,42.44,True
RET-000465,ORD-009316,2024-05-05,Buyer Remorse,247.26,46.87,True
RET-000466,ORD-009322,2024-08-15,Item Defective,165.17,47.46,True
RET-000467,ORD-009326,2024-07-09,Buyer Remorse,50.96,44.46,True
RET-000468,ORD-009336,2024-04-23,Wrong Size / Fit,19.16,43.91,True
RET-000469,ORD-009358,2024-04-26,Item Defective,321.79,36.14,False
RET-000470,ORD-009366,2024-05-02,Item Defective,57.4,37.01,True
RET-000471,ORD-009390,2024-04-19,Late Delivery,381.49,41.43,True
RET-000472,ORD-009405,2024-10-02,Late Delivery,532.25,51.42,True
RET-000473,ORD-009414,2024-05-23,Buyer Remorse,467.02,48.18,True
RET-000474,ORD-009424,2024-08-02,Late Delivery,368.3,48.9,False
RET-000475,ORD-009437,2024-07-24,Late Delivery,156.62,40.28,True
RET-000476,ORD-009484,2024-05-19,Item Defective,988.08,42.24,False
RET-000477,ORD-009499,2024-05-10,Item Defective,257.33,50.5,True
RET-000478,ORD-009508,2024-09-16,Item Defective,69.53,51.94,True
RET-000479,ORD-009511,2024-07-13,Wrong Size / Fit,81.44,40.55,False
RET-000480,ORD-009516,2024-05-03,Buyer Remorse,1065.18,48.65,False
RET-000481,ORD-009543,2024-07-01,Wrong Size / Fit,470.8,43.81,True
RET-000482,ORD-009557,2024-07-24,Wrong Size / Fit,306.98,36.46,True
RET-000483,ORD-009559,2024-07-19,Wrong Size / Fit,265.87,43.27,True
RET-000484,ORD-009603,2024-06-16,Item Defective,164.56,46.75,True
RET-000485,ORD-009610,2024-06-14,Wrong Size / Fit,41.0,48.46,True
RET-000486,ORD-009618,2024-09-20,Wrong Size / Fit,52.29,39.96,True
RET-000487,ORD-009619,2024-08-14,Wrong Size / Fit,57.0,48.62,True
RET-000488,ORD-009636,2024-05-21,Wrong Size / Fit,163.36,49.83,True
RET-000489,ORD-009647,2024-08-25,Wrong Size / Fit,164.39,44.84,True
RET-000490,ORD-009683,2024-04-24,Wrong Size / Fit,130.39,46.03,True
RET-000491,ORD-009690,2024-07-24,Item Defective,449.57,39.7,True
RET-000492,ORD-009696,2024-07-19,Wrong Size / Fit,261.11,51.33,False
RET-000493,ORD-009701,2024-06-17,Wrong Size / Fit,183.72,36.41,True
RET-000494,ORD-009702,2024-06-25,Late Delivery,82.07,41.74,True
RET-000495,ORD-009705,2024-07-25,Wrong Size / Fit,40.39,44.02,True
RET-000496,ORD-009713,2024-07-09,Wrong Size / Fit,201.83,51.41,False
RET-000497,ORD-009729,2024-07-11,Item Defective,353.52,35.3,True
RET-000498,ORD-009757,2024-10-01,Wrong Size / Fit,489.79,44.61,True
RET-000499,ORD-009761,2024-10-01,Buyer Remorse,114.9,36.13,True
RET-000500,ORD-009778,2024-08-31,Wrong Size / Fit,122.7,40.44,True
RET-000501,ORD-009821,2024-05-14,Buyer Remorse,128.36,50.64,True
RET-000502,ORD-009851,2024-04-06,Late Delivery,31.27,49.84,True
RET-000503,ORD-009855,2024-08-17,Item Defective,475.11,49.08,True
RET-000504,ORD-009858,2024-08-10,Wrong Size / Fit,34.96,48.83,True
RET-000505,ORD-009861,2024-05-30,Late Delivery,193.69,35.3,True
RET-000506,ORD-009880,2024-05-19,Wrong Size / Fit,321.6,51.89,True
RET-000507,ORD-009889,2024-04-30,Wrong Size / Fit,106.03,37.97,True
RET-000508,ORD-009914,2024-06-30,Wrong Size / Fit,549.9,49.93,True
RET-000509,ORD-009917,2024-05-03,Item Defective,128.25,40.29,False
RET-000510,ORD-009943,2024-07-19,Item Defective,38.89,50.68,True
RET-000511,ORD-009977,2024-04-28,Late Delivery,245.22,46.27,True
RET-000512,ORD-009994,2024-04-20,Wrong Size / Fit,76.39,38.74,False
RET-000513,ORD-010001,2024-08-19,Wrong Size / Fit,98.21,41.29,True
RET-000514,ORD-010035,2024-06-12,Wrong Size / Fit,166.3,47.15,False
RET-000515,ORD-010038,2024-08-21,Late Delivery,333.22,42.12,True
RET-000516,ORD-010082,2024-08-23,Wrong Size / Fit,133.9,35.08,True
RET-000517,ORD-010101,2024-09-09,Item Defective,18.48,43.42,False
RET-000518,ORD-010136,2024-08-09,Item Defective,52.98,35.32,False
RET-000519,ORD-010152,2024-06-05,Wrong Size / Fit,158.28,38.95,True
RET-000520,ORD-010164,2024-06-02,Buyer Remorse,213.28,42.55,True
RET-000521,ORD-010190,2024-04-14,Wrong Size / Fit,238.55,44.53,True
RET-000522,ORD-010207,2024-07-18,Late Delivery,226.83,46.36,True
RET-000523,ORD-010220,2024-08-22,Wrong Size / Fit,110.8,38.33,False
RET-000524,ORD-010232,2024-09-05,Late Delivery,344.57,41.36,True
RET-000525,ORD-010287,2024-04-23,Buyer Remorse,415.34,41.55,False
RET-000526,ORD-010298,2024-08-30,Item Defective,90.18,39.6,True
RET-000527,ORD-010306,2024-07-06,Item Defective,28.21,42.9,True
RET-000528,ORD-010338,2024-10-10,Wrong Size / Fit,966.69,42.51,False
RET-000529,ORD-010350,2024-10-05,Item Defective,35.82,35.66,True
RET-000530,ORD-010402,2024-05-25,Late Delivery,1504.6,47.16,True
RET-000531,ORD-010410,2024-09-27,Wrong Size / Fit,215.44,50.02,True
RET-000532,ORD-010411,2024-04-28,Item Defective,18.96,45.0,True
RET-000533,ORD-010435,2024-09-15,Buyer Remorse,133.93,48.12,False
RET-000534,ORD-010468,2024-07-02,Wrong Size / Fit,167.37,43.42,True
RET-000535,ORD-010475,2024-09-01,Buyer Remorse,174.45,39.61,True
RET-000536,ORD-010521,2024-06-15,Item Defective,119.36,51.3,True
RET-000537,ORD-010529,2024-09-19,Wrong Size / Fit,195.9,50.86,False
RET-000538,ORD-010546,2024-07-04,Wrong Size / Fit,203.93,49.64,True
RET-000539,ORD-010553,2024-06-27,Item Defective,15.82,49.19,True
RET-000540,ORD-010559,2024-06-27,Item Defective,185.54,51.74,True
RET-000541,ORD-010569,2024-05-02,Item Defective,943.78,41.97,True
RET-000542,ORD-010576,2024-08-15,Late Delivery,60.7,46.66,True
RET-000543,ORD-010577,2024-08-27,Late Delivery,52.17,41.25,True
RET-000544,ORD-010581,2024-06-18,Late Delivery,103.05,47.25,True
RET-000545,ORD-010589,2024-07-23,Buyer Remorse,115.99,37.4,True
RET-000546,ORD-010632,2024-07-19,Late Delivery,77.36,47.19,True
RET-000547,ORD-010656,2024-08-15,Buyer Remorse,158.45,35.98,True
RET-000548,ORD-010658,2024-05-31,Wrong Size / Fit,451.42,36.47,True
RET-000549,ORD-010668,2024-09-10,Wrong Size / Fit,125.14,45.95,False
RET-000550,ORD-010706,2024-04-17,Wrong Size / Fit,78.65,49.11,True
RET-000551,ORD-010721,2024-07-30,Item Defective,26.27,42.63,True
RET-000552,ORD-010770,2024-10-05,Wrong Size / Fit,119.49,47.31,True
RET-000553,ORD-010780,2024-06-11,Late Delivery,91.09,50.52,True
RET-000554,ORD-010782,2024-05-25,Wrong Size / Fit,1748.24,36.04,True
RET-000555,ORD-010796,2024-10-08,Item Defective,135.94,48.53,True
RET-000556,ORD-010797,2024-07-10,Wrong Size / Fit,117.05,49.79,True
RET-000557,ORD-010843,2024-07-23,Late Delivery,222.78,35.65,True
RET-000558,ORD-010845,2024-08-24,Item Defective,541.53,46.56,True
RET-000559,ORD-010863,2024-05-25,Wrong Size / Fit,62.79,44.57,False
RET-000560,ORD-010866,2024-08-14,Late Delivery,241.43,43.8,True
RET-000561,ORD-010882,2024-05-20,Wrong Size / Fit,375.86,50.19,False
RET-000562,ORD-010883,2024-06-17,Item Defective,163.86,48.28,True
RET-000563,ORD-010908,2024-05-07,Late Delivery,953.68,37.44,True
RET-000564,ORD-010916,2024-06-18,Buyer Remorse,482.65,51.58,True
RET-000565,ORD-010925,2024-09-27,Wrong Size / Fit,186.85,44.17,True
RET-000566,ORD-010969,2024-04-16,Wrong Size / Fit,224.22,44.44,False
RET-000567,ORD-010976,2024-05-17,Item Defective,56.78,47.52,True
RET-000568,ORD-010991,2024-06-06,Wrong Size / Fit,1029.5,51.21,True
RET-000569,ORD-011002,2024-07-10,Item Defective,18.75,41.48,True
RET-000570,ORD-011023,2024-05-19,Late Delivery,1031.92,41.44,True
RET-000571,ORD-011053,2024-07-18,Wrong Size / Fit,88.24,39.17,True
RET-000572,ORD-011075,2024-04-12,Wrong Size / Fit,389.06,51.67,True
RET-000573,ORD-011100,2024-09-10,Item Defective,26.4,49.03,True
RET-000574,ORD-011107,2024-05-24,Item Defective,59.54,45.05,True
RET-000575,ORD-011119,2024-09-30,Wrong Size / Fit,109.17,48.83,True
RET-000576,ORD-011129,2024-06-15,Wrong Size / Fit,360.22,40.56,True
RET-000577,ORD-011140,2024-09-05,Wrong Size / Fit,333.98,41.83,False
RET-000578,ORD-011159,2024-07-14,Wrong Size / Fit,262.82,44.23,True
RET-000579,ORD-011167,2024-04-11,Item Defective,419.38,50.71,True
RET-000580,ORD-011177,2024-04-29,Item Defective,522.03,35.14,True
RET-000581,ORD-011186,2024-08-19,Item Defective,54.74,48.27,True
RET-000582,ORD-011197,2024-04-13,Buyer Remorse,1166.55,51.27,True
RET-000583,ORD-011199,2024-08-22,Item Defective,161.13,43.27,False
RET-000584,ORD-011200,2024-06-02,Wrong Size / Fit,451.56,44.1,True
RET-000585,ORD-011223,2024-04-13,Late Delivery,255.96,39.1,True
RET-000586,ORD-011237,2024-05-22,Wrong Size / Fit,181.84,42.74,True
RET-000587,ORD-011264,2024-06-22,Item Defective,491.21,47.48,False
RET-000588,ORD-011321,2024-07-17,Item Defective,138.07,40.62,True
RET-000589,ORD-011337,2024-09-11,Wrong Size / Fit,440.08,41.2,False
RET-000590,ORD-011355,2024-06-01,Wrong Size / Fit,141.55,37.1,True
RET-000591,ORD-011368,2024-09-10,Wrong Size / Fit,167.98,48.86,True
RET-000592,ORD-011394,2024-05-07,Buyer Remorse,768.73,47.28,False
RET-000593,ORD-011404,2024-04-16,Late Delivery,307.1,49.33,False
RET-000594,ORD-011435,2024-09-13,Item Defective,180.79,42.53,True
RET-000595,ORD-011482,2024-07-29,Buyer Remorse,166.38,49.51,True
RET-000596,ORD-011493,2024-05-19,Item Defective,126.4,48.42,True
RET-000597,ORD-011498,2024-07-09,Late Delivery,78.45,48.79,True
RET-000598,ORD-011519,2024-04-21,Late Delivery,163.83,41.69,False
RET-000599,ORD-011529,2024-05-09,Wrong Size / Fit,189.27,49.53,True
RET-000600,ORD-011549,2024-07-28,Late Delivery,54.23,48.17,True
RET-000601,ORD-011568,2024-05-05,Wrong Size / Fit,76.82,37.03,True
RET-000602,ORD-011570,2024-08-04,Buyer Remorse,69.89,42.11,True
RET-000603,ORD-011592,2024-07-01,Item Defective,56.17,50.94,True
RET-000604,ORD-011595,2024-08-19,Wrong Size / Fit,90.0,40.55,True
RET-000605,ORD-011602,2024-09-13,Wrong Size / Fit,217.64,38.33,True
RET-000606,ORD-011610,2024-06-13,Wrong Size / Fit,137.07,49.87,True
RET-000607,ORD-011630,2024-05-06,Item Defective,513.83,41.58,True
RET-000608,ORD-011663,2024-04-14,Item Defective,366.24,47.18,True
RET-000609,ORD-011709,2024-09-13,Wrong Size / Fit,131.45,37.64,True
RET-000610,ORD-011727,2024-04-30,Wrong Size / Fit,1285.75,41.67,True
RET-000611,ORD-011785,2024-05-26,Item Defective,27.68,41.46,True
RET-000612,ORD-011792,2024-08-30,Wrong Size / Fit,160.3,39.08,True
RET-000613,ORD-011826,2024-06-04,Item Defective,149.08,37.05,True
RET-000614,ORD-011842,2024-05-18,Buyer Remorse,80.78,43.64,True
RET-000615,ORD-011850,2024-07-10,Item Defective,91.94,48.83,False
RET-000616,ORD-011856,2024-05-13,Wrong Size / Fit,92.91,46.89,True
RET-000617,ORD-011876,2024-07-26,Item Defective,60.35,42.69,False
RET-000618,ORD-011888,2024-05-29,Late Delivery,63.05,45.91,False
RET-000619,ORD-011927,2024-05-19,Wrong Size / Fit,26.96,50.9,True
RET-000620,ORD-011937,2024-10-04,Late Delivery,439.82,50.81,True
RET-000621,ORD-011939,2024-09-25,Item Defective,30.14,39.62,True
RET-000622,ORD-011954,2024-08-30,Wrong Size / Fit,369.4,41.98,True
RET-000623,ORD-011955,2024-06-01,Item Defective,62.41,37.99,False
RET-000624,ORD-011962,2024-08-09,Wrong Size / Fit,165.51,51.68,True
RET-000625,ORD-011977,2024-09-22,Late Delivery,1322.6,45.51,True
RET-000626,ORD-011986,2024-07-21,Wrong Size / Fit,283.92,38.74,True
RET-000627,ORD-012024,2024-04-17,Late Delivery,1239.34,50.91,True
RET-000628,ORD-012029,2024-04-19,Wrong Size / Fit,223.74,48.23,True
RET-000629,ORD-012032,2024-04-14,Item Defective,126.35,39.68,True
RET-000630,ORD-012124,2024-07-13,Wrong Size / Fit,27.0,46.23,False
RET-000631,ORD-012131,2024-08-10,Item Defective,353.29,47.68,True
RET-000632,ORD-012193,2024-06-10,Item Defective,127.75,45.65,False
RET-000633,ORD-012202,2024-06-18,Wrong Size / Fit,194.07,51.28,True
RET-000634,ORD-012206,2024-10-02,Buyer Remorse,18.35,35.75,True
RET-000635,ORD-012212,2024-08-02,Buyer Remorse,29.28,37.85,True
RET-000636,ORD-012233,2024-09-19,Wrong Size / Fit,59.22,40.12,True
RET-000637,ORD-012258,2024-09-28,Late Delivery,181.82,36.43,True
RET-000638,ORD-012264,2024-09-09,Wrong Size / Fit,58.0,42.6,True
RET-000639,ORD-012272,2024-08-31,Wrong Size / Fit,221.73,40.91,True
RET-000640,ORD-012273,2024-07-13,Item Defective,253.39,35.86,True
RET-000641,ORD-012274,2024-07-04,Buyer Remorse,204.5,38.12,True
RET-000642,ORD-012280,2024-04-10,Item Defective,404.88,47.31,True
RET-000643,ORD-012285,2024-05-13,Late Delivery,221.41,36.6,True
RET-000644,ORD-012289,2024-06-27,Item Defective,28.63,40.05,True
RET-000645,ORD-012299,2024-07-24,Item Defective,298.72,41.66,True
RET-000646,ORD-012302,2024-04-29,Late Delivery,97.37,36.04,True
RET-000647,ORD-012309,2024-06-29,Wrong Size / Fit,210.42,48.35,True
RET-000648,ORD-012372,2024-07-17,Item Defective,195.65,51.86,True
RET-000649,ORD-012383,2024-08-28,Wrong Size / Fit,361.44,39.25,True
RET-000650,ORD-012391,2024-08-10,Wrong Size / Fit,30.37,44.93,True
RET-000651,ORD-012397,2024-06-24,Wrong Size / Fit,275.82,46.47,True
RET-000652,ORD-012407,2024-04-06,Wrong Size / Fit,72.09,43.24,True
RET-000653,ORD-012409,2024-08-01,Wrong Size / Fit,174.83,45.25,True
RET-000654,ORD-012419,2024-08-17,Late Delivery,51.18,50.88,False
RET-000655,ORD-012422,2024-09-18,Late Delivery,173.53,40.76,True
RET-000656,ORD-012450,2024-04-19,Late Delivery,1207.89,51.36,True
RET-000657,ORD-012457,2024-04-22,Item Defective,68.52,38.71,True
RET-000658,ORD-012477,2024-07-24,Late Delivery,357.52,42.85,True
RET-000659,ORD-012517,2024-08-24,Wrong Size / Fit,36.35,44.46,True
RET-000660,ORD-012520,2024-06-25,Wrong Size / Fit,308.73,49.1,True
RET-000661,ORD-012547,2024-08-27,Wrong Size / Fit,27.09,41.19,True
RET-000662,ORD-012559,2024-06-06,Late Delivery,121.54,36.86,True
RET-000663,ORD-012562,2024-08-18,Buyer Remorse,289.61,50.1,True
RET-000664,ORD-012589,2024-06-08,Late Delivery,318.28,41.59,True
RET-000665,ORD-012596,2024-04-23,Item Defective,81.23,48.42,False
RET-000666,ORD-012597,2024-07-05,Wrong Size / Fit,275.59,43.15,False
RET-000667,ORD-012616,2024-07-19,Item Defective,213.74,51.41,True
RET-000668,ORD-012627,2024-04-12,Late Delivery,59.11,48.36,True
RET-000669,ORD-012644,2024-04-20,Wrong Size / Fit,203.11,46.05,True
RET-000670,ORD-012648,2024-06-03,Wrong Size / Fit,86.42,38.47,True
RET-000671,ORD-012654,2024-07-25,Buyer Remorse,350.61,35.29,True
RET-000672,ORD-012697,2024-05-16,Buyer Remorse,187.18,46.55,True
RET-000673,ORD-012738,2024-04-25,Wrong Size / Fit,383.95,50.2,True
RET-000674,ORD-012746,2024-05-28,Late Delivery,36.85,48.73,True
RET-000675,ORD-012786,2024-08-26,Item Defective,163.47,46.77,True
RET-000676,ORD-012803,2024-09-26,Late Delivery,77.52,46.65,True
RET-000677,ORD-012804,2024-09-24,Late Delivery,71.65,35.47,True
RET-000678,ORD-012805,2024-04-29,Item Defective,309.8,37.95,True
RET-000679,ORD-012806,2024-08-19,Item Defective,115.31,38.61,True
RET-000680,ORD-012850,2024-04-15,Buyer Remorse,15.46,43.25,True
RET-000681,ORD-012870,2024-09-12,Wrong Size / Fit,35.67,44.23,False
RET-000682,ORD-012882,2024-06-19,Buyer Remorse,56.64,41.6,True
RET-000683,ORD-012884,2024-06-14,Wrong Size / Fit,477.51,46.52,True
RET-000684,ORD-012889,2024-09-22,Late Delivery,382.24,36.76,True
RET-000685,ORD-012890,2024-05-14,Wrong Size / Fit,59.75,36.05,True
RET-000686,ORD-012903,2024-09-03,Late Delivery,27.81,38.59,True
RET-000687,ORD-012911,2024-08-10,Wrong Size / Fit,203.3,43.37,True
RET-000688,ORD-012914,2024-05-28,Wrong Size / Fit,187.2,46.6,True
RET-000689,ORD-012943,2024-08-22,Wrong Size / Fit,77.55,44.47,False
RET-000690,ORD-012957,2024-04-22,Late Delivery,56.76,40.27,False
RET-000691,ORD-012969,2024-08-19,Late Delivery,200.05,35.95,True
RET-000692,ORD-012981,2024-09-11,Item Defective,26.33,51.41,False
RET-000693,ORD-012985,2024-09-21,Late Delivery,180.5,36.83,True
RET-000694,ORD-013016,2024-05-20,Wrong Size / Fit,15.42,45.59,True
RET-000695,ORD-013032,2024-10-07,Item Defective,106.37,48.31,True
RET-000696,ORD-013044,2024-10-01,Late Delivery,55.05,47.67,True
RET-000697,ORD-013051,2024-09-18,Wrong Size / Fit,208.14,35.74,True
RET-000698,ORD-013088,2024-07-23,Wrong Size / Fit,386.77,46.69,True
RET-000699,ORD-013102,2024-07-04,Late Delivery,221.75,38.1,True
RET-000700,ORD-013116,2024-09-02,Item Defective,275.6,47.93,True
RET-000701,ORD-013129,2024-07-08,Item Defective,59.47,51.23,True
RET-000702,ORD-013151,2024-06-08,Item Defective,28.68,37.39,True
RET-000703,ORD-013162,2024-07-04,Late Delivery,59.57,38.91,True
RET-000704,ORD-013180,2024-08-25,Wrong Size / Fit,567.22,39.65,False
RET-000705,ORD-013185,2024-05-02,Item Defective,93.89,51.47,False
RET-000706,ORD-013205,2024-10-02,Item Defective,18.7,44.39,True
RET-000707,ORD-013255,2024-09-15,Buyer Remorse,52.33,35.18,True
RET-000708,ORD-013332,2024-04-30,Item Defective,61.48,42.84,True
RET-000709,ORD-013334,2024-09-24,Item Defective,151.76,47.45,True
RET-000710,ORD-013340,2024-06-23,Item Defective,92.0,39.9,True
RET-000711,ORD-013363,2024-06-04,Item Defective,164.37,51.9,True
RET-000712,ORD-013476,2024-08-12,Buyer Remorse,213.51,44.43,False
RET-000713,ORD-013540,2024-04-17,Late Delivery,161.45,45.38,True
RET-000714,ORD-013555,2024-06-27,Wrong Size / Fit,221.21,39.15,True
RET-000715,ORD-013572,2024-08-23,Item Defective,77.88,38.61,True
RET-000716,ORD-013589,2024-06-03,Wrong Size / Fit,466.75,50.74,True
RET-000717,ORD-013590,2024-04-18,Wrong Size / Fit,15.37,42.01,True
RET-000718,ORD-013610,2024-07-09,Wrong Size / Fit,893.86,36.9,True
RET-000719,ORD-013621,2024-08-09,Late Delivery,290.98,43.66,True
RET-000720,ORD-013622,2024-04-24,Late Delivery,53.8,46.74,True
RET-000721,ORD-013635,2024-09-07,Late Delivery,18.03,36.11,False
